dataset,candidate,baseline,k,n,candidate_mean_MAE,baseline_mean_MAE,mean_improvement_MAE,median_improvement_MAE,p10_improvement_MAE,win_rate,negative_transfer_rate,wilcoxon_p_greater
BDG2-24,M11_REVIN_MSR_DPS_CAL,ExtraTrees-ST,3,24,2.726193658633273,3.2954158572310064,0.5692221985977332,0.4933511164779605,0.2942699511673275,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,ExtraTrees-ST,7,24,2.387005000568076,3.0775097894839973,0.6905047889159212,0.4793529844160661,0.2328313453293044,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,ExtraTrees-ST,14,24,2.2431824591527074,3.024794665797946,0.7816122066452387,0.4862105763704116,0.188667499531445,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,ExtraTrees-ST,30,24,2.0429985187298136,2.8666142627782727,0.8236157440484596,0.5017095914599206,0.1428161229149089,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,HistGBDT-ST,3,24,2.726193658633273,3.367292405464736,0.6410987468314618,0.5851214268624971,0.4043155423310344,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,HistGBDT-ST,7,24,2.387005000568076,3.050613043079751,0.6636080425116746,0.5221709002776402,0.2712800012508436,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,HistGBDT-ST,14,24,2.2431824591527074,2.988273417222392,0.7450909580696851,0.4980209942148867,0.2915571660320405,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,HistGBDT-ST,30,24,2.0429985187298136,2.8100503855669827,0.7670518668371695,0.4737632041344199,0.2146946296309223,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,3,24,2.726193658633273,2.711111555584868,-0.0150821030484054,-3.0369370590655226e-06,-0.1683628712091304,0.4166666666666667,0.5416666666666666,0.8564541618035765
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,7,24,2.387005000568076,2.597442629010746,0.2104376284426704,5.87544753833265e-06,-0.110492835484343,0.6666666666666666,0.3333333333333333,0.1951233148574829
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,14,24,2.2431824591527074,2.397453266953033,0.1542708078003254,1.099067277086609e-05,-0.1476881810957699,0.6666666666666666,0.3333333333333333,0.1321714520454406
