candidate,baseline,k,mean_delta,median_delta,worst_delta,best_delta,win_rate,n
PAR_HIST_GBDT_SW_CAL,persistence,3,-1.1656241971615804,-0.14473746000754295,0.1943040293763234,-14.319538190851908,0.9,120
PAR_HIST_GBDT_SW_CAL,persistence,7,-2.0452777446597508,-0.5348747463355615,0.2752239596552757,-22.447611418968457,0.9333333333333333,120
PAR_HIST_GBDT_SW_CAL,persistence,14,-2.373400557009741,-0.8853285113900844,0.12350795447412555,-23.23912635046664,0.9583333333333334,120
PAR_HIST_GBDT_SW_CAL,persistence,30,-2.796747100933272,-1.2488780212359352,1.3329201317111963,-24.32688777540676,0.9666666666666667,120
PAR_HIST_GBDT_SW_CAL,random_forest_source_target,3,-4.0348749867676394,-0.547170702288652,3.491964029738746,-245.62298320381797,0.7583333333333333,120
PAR_HIST_GBDT_SW_CAL,random_forest_source_target,7,-3.9534317341700054,-0.5540574874835039,3.8656821772778116,-231.20942580916636,0.7416666666666667,120
PAR_HIST_GBDT_SW_CAL,random_forest_source_target,14,-3.8474005045182857,-0.5144610193264949,3.3587677183302507,-219.9029933343324,0.7583333333333333,120
PAR_HIST_GBDT_SW_CAL,random_forest_source_target,30,-3.9983275779865926,-0.5438864167767066,3.290733129944414,-225.92563731816927,0.7833333333333333,120
PAR_HIST_GBDT_SW_CAL,extra_trees_source_target,3,-4.782048605599609,-0.5738163520266617,3.9630546269850058,-257.9872631367594,0.7583333333333333,120
PAR_HIST_GBDT_SW_CAL,extra_trees_source_target,7,-4.757924972640365,-0.6560045453172791,5.454258888791784,-247.796333211557,0.7666666666666667,120
PAR_HIST_GBDT_SW_CAL,extra_trees_source_target,14,-4.869233501037045,-0.6526419003161403,3.3950217643894245,-263.49593239120793,0.75,120
PAR_HIST_GBDT_SW_CAL,extra_trees_source_target,30,-4.908601762096228,-0.571781329095868,2.8882559632253404,-270.45807446177434,0.7916666666666666,120
PAR_HIST_GBDT_SW_CAL,hist_gbdt_source_target,3,-7.245202871723956,-1.2379897236803732,3.904125627563822,-386.5894622382647,0.8416666666666667,120
PAR_HIST_GBDT_SW_CAL,hist_gbdt_source_target,7,-6.906551317210667,-1.1231040185244265,6.049161839073527,-377.26567671171387,0.85,120
PAR_HIST_GBDT_SW_CAL,hist_gbdt_source_target,14,-5.934319713207639,-1.1980182671629693,3.560227307327608,-275.84068990520285,0.8666666666666667,120
PAR_HIST_GBDT_SW_CAL,hist_gbdt_source_target,30,-5.674959005810672,-1.1520012351069329,2.9863640050171725,-267.9691794425629,0.85,120
PAR_HIST_GBDT_SW_CAL,seasonal_naive_24,3,-25.33229408994517,-5.709174044003569,1.7784967709325556,-370.6743583834539,0.9333333333333333,120
PAR_HIST_GBDT_SW_CAL,seasonal_naive_24,7,-26.211947637443338,-5.967026122075287,1.3841314790391146,-379.15194493677825,0.95,120
PAR_HIST_GBDT_SW_CAL,seasonal_naive_24,14,-26.540070449793326,-6.731726080451592,1.3841496352793583,-385.4196353695535,0.9333333333333333,120
PAR_HIST_GBDT_SW_CAL,seasonal_naive_24,30,-26.96341699371686,-7.403234166404321,1.3841467719362104,-385.67089984958767,0.9666666666666667,120
