method,k,mean_MAE,median_MAE,worst_MAE,mean_rank,top1_rate,top3_rate
PAR_HIST_GBDT_SW_CAL,3,18.318817040781667,11.859407296102205,101.55263136263984,1.8083333333333333,0.6583333333333333,0.8166666666666667
random_forest_source_target,3,22.353692027549307,11.946805593467326,347.1756145664578,2.9916666666666667,0.10833333333333334,0.675
persistence,3,19.484441237943248,13.701711654663086,104.46368408203124,3.025,0.06666666666666667,0.675
extra_trees_source_target,3,23.100865646381276,11.964264700115725,359.5398944993992,3.2083333333333335,0.125,0.55
hist_gbdt_source_target,3,25.56401991250562,12.831471698312466,488.1420936009045,4.525,0.008333333333333333,0.16666666666666666
seasonal_naive_24,3,43.65111113072683,18.748854637145996,472.22698974609375,5.441666666666666,0.03333333333333333,0.11666666666666667
PAR_HIST_GBDT_SW_CAL,7,17.4391634932835,11.485625399041428,93.0750448093155,1.7583333333333333,0.6666666666666666,0.8416666666666667
random_forest_source_target,7,21.3925952274535,11.89306788421323,324.28447061848186,2.8916666666666666,0.10833333333333334,0.7
extra_trees_source_target,7,22.197088465923862,11.89581428068659,340.8713780208725,3.191666666666667,0.10833333333333334,0.575
persistence,7,19.484441237943248,13.701711654663086,104.46368408203124,3.2083333333333335,0.058333333333333334,0.5916666666666667
hist_gbdt_source_target,7,24.34571481049416,12.704779071252382,470.34072152102937,4.433333333333334,0.025,0.19166666666666668
seasonal_naive_24,7,43.65111113072683,18.748854637145996,472.22698974609375,5.516666666666667,0.03333333333333333,0.1
PAR_HIST_GBDT_SW_CAL,14,17.111040680933506,11.306974436669773,86.80735437654026,1.7333333333333334,0.6833333333333333,0.8416666666666667
random_forest_source_target,14,20.958441185451793,11.669185206120197,306.71034771087267,2.925,0.06666666666666667,0.7333333333333333
extra_trees_source_target,14,21.98027418197055,11.555428894656384,350.3032867677482,3.091666666666667,0.15833333333333333,0.5833333333333334
persistence,14,19.484441237943248,13.701711654663086,104.46368408203124,3.35,0.03333333333333333,0.5666666666666667
hist_gbdt_source_target,14,23.045360394141145,12.438838170772337,362.6480442817431,4.366666666666666,0.025,0.2
seasonal_naive_24,14,43.65111113072683,18.748854637145996,472.22698974609375,5.533333333333333,0.03333333333333333,0.075
PAR_HIST_GBDT_SW_CAL,30,16.687694137009977,10.371257999894254,86.55608989650608,1.6416666666666666,0.725,0.8666666666666667
random_forest_source_target,30,20.686021714996567,11.320476812874688,312.48172721467535,2.875,0.08333333333333333,0.7416666666666667
extra_trees_source_target,30,21.596295899106206,11.164317110361647,357.0141643582804,3.15,0.10833333333333334,0.6
persistence,30,19.484441237943248,13.701711654663086,104.46368408203124,3.5166666666666666,0.03333333333333333,0.5083333333333333
hist_gbdt_source_target,30,22.362653142820648,11.888695348370582,354.525269339069,4.2,0.025,0.225
seasonal_naive_24,30,43.65111113072683,18.748854637145996,472.22698974609375,5.616666666666666,0.025,0.058333333333333334
