activity_group,method,k,mean_MAE,median_MAE,p90_MAE,worst_MAE,n
active,M9_REVIN_MSR,3,3.6887266780401315,0.6047577043006778,6.9345137973252235,37.26524263599395,17
active,M3_ANCHOR_REVIN,3,3.827449232308749,0.6164546323835752,7.393784481302338,38.02442368072821,17
active,M11_REVIN_MSR_DPS_CAL,3,3.848743075300117,0.6907601526940718,7.984881674454014,36.54869446295291,17
active,M11_REVIN_MSR_DPS_CAL,7,3.3698884296115525,0.6907601526940718,7.261176287103357,30.21395971959859,17
active,M9_REVIN_MSR,7,3.5576524749048484,0.5691840435894823,7.11076834476438,34.66209726960505,17
active,M3_ANCHOR_REVIN,7,3.6669759395284047,0.5888755161600463,7.587894901643856,34.56552582767158,17
active,M11_REVIN_MSR_DPS_CAL,14,3.166844812485747,0.6907601526940718,7.206427291269374,27.941932148077328,17
active,M9_REVIN_MSR,14,3.2469315415432654,0.527522762114026,7.3373073392485875,29.809923884431864,17
active,M3_ANCHOR_REVIN,14,3.3846359609923304,0.5509868739324483,7.743530947605945,30.66924861012026,17
active,M9_REVIN_MSR,30,2.8242159183038176,0.4816451042267397,6.2183454452538545,25.379867338958555,17
active,M11_REVIN_MSR_DPS_CAL,30,2.8842317433549667,0.6907601526940718,6.194350593879946,25.217186981346437,17
active,M3_ANCHOR_REVIN,30,2.9262839856386353,0.5046177013133941,6.4913652216053634,26.32213267104156,17
inactive_or_zero,M9_REVIN_MSR,3,5.176178392968078e-07,2.242306267043693e-07,1.2975290582681306e-06,1.3605398886246334e-06,7
inactive_or_zero,M11_REVIN_MSR_DPS_CAL,3,2.2181566535782478e-06,0.0,6.6234008311614726e-06,1.346428556933586e-05,7
inactive_or_zero,M3_ANCHOR_REVIN,3,5.769255442898844e-06,5.504106383167517e-07,1.7458657908328614e-05,2.9466811085446485e-05,7
inactive_or_zero,M9_REVIN_MSR,7,2.275276509399957e-06,2.356248360212285e-06,3.0883475376369824e-06,3.3982267939941224e-06,7
inactive_or_zero,M11_REVIN_MSR_DPS_CAL,7,2.3871767762702685e-06,0.0,7.252946247933502e-06,1.386598106200816e-05,7
inactive_or_zero,M3_ANCHOR_REVIN,7,4.589182147824969e-06,3.3644321304502232e-06,8.278112203745053e-06,9.239989064789978e-06,7
inactive_or_zero,M11_REVIN_MSR_DPS_CAL,14,2.458201038791601e-06,0.0,8.05853572282261e-06,1.1329543200510584e-05,7
inactive_or_zero,M9_REVIN_MSR,14,7.567691539395133e-06,4.6893889413155816e-06,1.3557158760394695e-05,2.0374742701240608e-05,7
inactive_or_zero,M3_ANCHOR_REVIN,14,9.581429024477792e-06,8.607803680451847e-06,1.7571477407127114e-05,1.923200572207317e-05,7
inactive_or_zero,M11_REVIN_MSR_DPS_CAL,30,3.5446401555998666e-06,0.0,1.1395684326022412e-05,1.7459021637485152e-05,7
inactive_or_zero,M9_REVIN_MSR,30,1.1011696804631622e-05,1.12330479700668e-05,1.6772881620262418e-05,1.681642672974643e-05,7
inactive_or_zero,M3_ANCHOR_REVIN,30,2.0170351584023622e-05,2.1446059509254388e-05,2.959261474457935e-05,3.566815695630279e-05,7
