dataset,candidate,baseline,k,n,mean_improvement_MAE,median_improvement_MAE,win_rate,negative_transfer_rate,candidate_mean_MAE,baseline_mean_MAE
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,3,24,0.09826334100123833,0.002996394315467568,0.7916666666666666,0.16666666666666666,2.61284821458363,2.711111555584868
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,7,24,0.07743812899749734,0.004459798979834451,0.8333333333333334,0.16666666666666666,2.520004500013249,2.597442629010746
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,14,24,0.09754121778318747,0.002685474267807606,0.8333333333333334,0.16666666666666666,2.299912049169845,2.397453266953033
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,30,24,0.0723008856364731,0.005337304374934758,0.875,0.125,2.0004894872101056,2.0727903728465784
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,3,24,-0.015082103048405479,-3.0369370590655226e-06,0.4166666666666667,0.5416666666666666,2.726193658633273,2.711111555584868
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,7,24,0.21043762844267047,5.87544753833265e-06,0.6666666666666666,0.3333333333333333,2.387005000568076,2.597442629010746
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,14,24,0.15427080780032543,1.099067277086609e-05,0.6666666666666666,0.3333333333333333,2.2431824591527074,2.397453266953033
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,30,24,0.029791854116765007,2.465801547348952e-05,0.6666666666666666,0.3333333333333333,2.0429985187298136,2.0727903728465784
BDG2-24,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,3,24,-0.1133454440496438,-0.004174734951101447,0.2916666666666667,0.6666666666666666,2.726193658633273,2.61284821458363
BDG2-24,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,7,24,0.13299949944517317,9.176455932264294e-07,0.5,0.5,2.387005000568076,2.520004500013249
BDG2-24,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,14,24,0.05672959001713796,4.000016798187866e-06,0.5833333333333334,0.4166666666666667,2.2431824591527074,2.299912049169845
BDG2-24,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,30,24,-0.042509031519708106,7.210040175156493e-06,0.5833333333333334,0.4166666666666667,2.0429985187298136,2.0004894872101056
