method,k,mean_MAE,median_MAE,worst_MAE,n_buildings
M9_REVIN_MSR,3,2.61284821458363,0.2964363012498782,37.26524263599395,24
M3_ANCHOR_REVIN,3,2.711111555584868,0.3222890337649846,38.02442368072821,24
M11_REVIN_MSR_DPS_CAL,3,2.726193658633274,0.4053729435809564,36.54869446295291,24
PARBoost,3,2.871,0.403,37.854,24
Persistence,3,2.938,0.429,38.401,24
RF-ST,3,3.218,0.719,37.842,24
ExtraTrees-ST,3,3.295,0.817,37.473,24
HistGBDT-ST,3,3.367,0.927,36.587,24
DLinear-SRFT,3,12.423,1.837,154.119,24
DLinear-M3,3,12.535,1.889,154.237,24
PA-SRFT,3,14.161,2.544,153.845,24
M11_REVIN_MSR_DPS_CAL,7,2.387005000568076,0.390437053531451,30.21395971959859,24
M9_REVIN_MSR,7,2.520004500013249,0.3251859382937763,34.66209726960505,24
M3_ANCHOR_REVIN,7,2.597442629010746,0.3387856254143355,34.56552582767158,24
PARBoost,7,2.627,0.395,33.649,24
RF-ST,7,2.923,0.673,32.424,24
Persistence,7,2.938,0.429,38.401,24
HistGBDT-ST,7,3.051,0.764,31.621,24
ExtraTrees-ST,7,3.078,0.806,33.259,24
DLinear-SRFT,7,4.772,1.605,52.006,24
DLinear-M3,7,5.331,1.706,53.352,24
M11_REVIN_MSR_DPS_CAL,14,2.2431824591527074,0.3751798886840191,27.941932148077328,24
M9_REVIN_MSR,14,2.299912049169845,0.3037913755398271,29.809923884431864,24
M3_ANCHOR_REVIN,14,2.397453266953033,0.3024921172762277,30.66924861012026,24
PARBoost,14,2.488,0.372,31.843,24
PA-SRFT,14,2.676,1.491,10.148,24
RF-ST,14,2.83,0.655,31.722,24
Persistence,14,2.938,0.429,38.401,24
HistGBDT-ST,14,2.988,0.817,30.777,24
ExtraTrees-ST,14,3.025,0.8,33.244,24
DLinear-SRFT,14,4.428,1.467,44.964,24
DLinear-M3,14,5.073,1.687,45.669,24
M9_REVIN_MSR,30,2.0004894872101056,0.2638763920213244,25.379867338958555,24
M11_REVIN_MSR_DPS_CAL,30,2.042998518729813,0.3654624630507804,25.217186981346437,24
M3_ANCHOR_REVIN,30,2.0727903728465784,0.275437775967766,26.32213267104156,24
PARBoost,30,2.164,0.364,27.365,24
RF-ST,30,2.708,0.621,31.256,24
HistGBDT-ST,30,2.81,0.722,30.067,24
ExtraTrees-ST,30,2.867,0.777,32.149,24
Persistence,30,2.938,0.429,38.401,24
PA-SRFT,30,2.969,1.776,9.89,24
DLinear-SRFT,30,4.474,1.653,41.613,24
DLinear-M3,30,5.444,2.095,46.851,24
