method,k,mean_MAE,median_MAE,worst_MAE,n_buildings
M9_REVIN_MSR,3,3.5184286819300805,2.787564259701722,10.335615258964284,44
M3_ANCHOR_REVIN,3,3.539045912258174,2.798145575854158,10.396280890427535,44
M11_REVIN_MSR_DPS_CAL,3,3.684926074230586,2.9447675092705703,10.245716550731096,44
ExtraTrees-ST,3,3.859,3.363,12.402,44
PARBoost,3,3.891,3.136,11.492,44
RF-ST,3,3.995,3.268,12.545,44
HistGBDT-ST,3,4.121,3.791,13.26,44
Persistence,3,4.395,3.871,13.373,44
Seasonal naive,3,8.273,5.491,25.146,44
M9_REVIN_MSR,7,3.633104361985904,2.8889537754806778,10.720022686930657,44
M3_ANCHOR_REVIN,7,3.635281200855405,2.8679394646689267,10.773074720519844,44
M11_REVIN_MSR_DPS_CAL,7,3.731216321061935,2.910577814588997,11.01329378564051,44
ExtraTrees-ST,7,3.858,3.296,12.673,44
PARBoost,7,3.927,3.115,11.802,44
RF-ST,7,3.989,3.236,12.825,44
HistGBDT-ST,7,4.097,3.756,13.127,44
Persistence,7,4.395,3.871,13.373,44
Seasonal naive,7,8.273,5.491,25.146,44
M11_REVIN_MSR_DPS_CAL,14,3.601145264609272,2.806720780767374,10.366615327507011,44
M9_REVIN_MSR,14,3.6335329777395695,2.903437615289598,10.677614933684628,44
M3_ANCHOR_REVIN,14,3.644938974272933,2.9149468962025336,10.59575018541413,44
ExtraTrees-ST,14,3.771,3.226,11.541,44
PARBoost,14,3.832,3.138,11.452,44
RF-ST,14,3.897,3.247,11.722,44
HistGBDT-ST,14,3.965,3.638,12.071,44
Persistence,14,4.395,3.871,13.373,44
Seasonal naive,14,8.273,5.491,25.146,44
M11_REVIN_MSR_DPS_CAL,30,3.52276223069267,2.7632328165254085,9.95292019736092,44
M9_REVIN_MSR,30,3.534541097309916,2.788278461943306,10.304310154559603,44
M3_ANCHOR_REVIN,30,3.599214195681838,2.8876580227948434,10.311196670868926,44
ExtraTrees-ST,30,3.706,3.201,10.985,44
PARBoost,30,3.743,3.142,10.829,44
RF-ST,30,3.822,3.202,11.247,44
HistGBDT-ST,30,3.868,3.479,11.136,44
Persistence,30,4.395,3.871,13.373,44
Seasonal naive,30,8.273,5.491,25.146,44
