method,k,mean_MAE,median_MAE,worst_MAE,mean_RMSE,n
M3_ANCHOR_REVIN,3,3.539045912258174,2.798145575854158,10.396280890427535,5.842634870834167,44
M7_FULL_REVIN_SIM_CAL,3,3.7039727744041158,3.005972122258921,10.538484794600832,6.137403504908374,44
M1_ANCHOR,3,3.8388110869797796,3.2485905071728354,11.684347343909163,6.40707321931497,44
M3_ANCHOR_REVIN,7,3.635281200855405,2.8679394646689267,10.773074720519844,6.051493757654038,44
M7_FULL_REVIN_SIM_CAL,7,3.7225583417414994,2.823627406345972,10.632203375220579,6.21418417260985,44
M1_ANCHOR,7,3.9306363690388015,3.2727110055793163,11.649263801126123,6.66444809779608,44
M7_FULL_REVIN_SIM_CAL,14,3.6191117459516375,2.8010931967923725,10.508350573280687,5.967315534467579,44
M3_ANCHOR_REVIN,14,3.644938974272933,2.9149468962025336,10.59575018541413,6.0823311015765995,44
M1_ANCHOR,14,3.92577411057795,3.3522512476881947,11.894108981546363,6.63365944610313,44
M7_FULL_REVIN_SIM_CAL,30,3.538987582003182,2.7449644957581594,9.890728445801011,5.771415570262582,44
M3_ANCHOR_REVIN,30,3.5992141956818386,2.8876580227948434,10.311196670868926,5.978725515495808,44
M1_ANCHOR,30,3.869262765624076,3.6266011376985166,11.445236692351724,6.450835582570037,44
