method,method_label,k,mean_MAE,median_MAE,p90_MAE,p95_MAE,worst_MAE,mean_rank,top3_rate,n
M9_REVIN_MSR,PA-MSR,3,16.523295032045038,10.466991215190562,40.708609300231316,47.00734236245247,95.64977786250782,1.3083333333333333,0.9833333333333333,120
PAR_HIST_GBDT_SW_CAL,Prior residual boosting,3,18.318817040781667,11.859407296102205,44.42562841672226,53.4305896942264,101.55263136263984,2.7,0.7833333333333333,120
random_forest_source_target,RF-ST,3,22.353692027549307,11.946805593467326,49.817226723359646,63.428396620501694,347.1756145664578,3.933333333333333,0.2916666666666667,120
persistence,Persistence,3,19.484441237943248,13.701711654663086,47.13736572265625,54.89823837280272,104.46368408203124,3.9833333333333334,0.55,120
extra_trees_source_target,ExtraTrees-ST,3,23.100865646381276,11.964264700115725,50.55894474056642,68.52125993319903,359.5398944993992,4.166666666666667,0.25833333333333336,120
hist_gbdt_source_target,HistGBDT-ST,3,25.56401991250562,12.831471698312466,51.95923514540032,71.15042990647223,488.1420936009045,5.508333333333334,0.058333333333333334,120
seasonal_naive_24,Seasonal naive,3,43.65111113072683,18.748854637145996,122.47728195190437,148.77487869262694,472.22698974609375,6.4,0.075,120
M9_REVIN_MSR,PA-MSR,7,16.429038384456657,10.82128564741197,40.31160622261942,45.7033499330616,92.87015594849676,1.4666666666666666,0.95,120
PAR_HIST_GBDT_SW_CAL,Prior residual boosting,7,17.4391634932835,11.485625399041428,42.1829384219512,48.06615128586564,93.0750448093155,2.566666666666667,0.7666666666666667,120
random_forest_source_target,RF-ST,7,21.3925952274535,11.89306788421323,50.96211984736271,61.93647942377268,324.28447061848186,3.816666666666667,0.35,120
extra_trees_source_target,ExtraTrees-ST,7,22.197088465923862,11.89581428068659,48.49075114278864,65.47071533813163,340.8713780208725,4.108333333333333,0.275,120
persistence,Persistence,7,19.484441237943248,13.701711654663086,47.13736572265625,54.89823837280272,104.46368408203124,4.175,0.5,120
hist_gbdt_source_target,HistGBDT-ST,7,24.34571481049416,12.704779071252382,51.22535232833367,67.90036623299531,470.34072152102937,5.391666666666667,0.09166666666666666,120
seasonal_naive_24,Seasonal naive,7,43.65111113072683,18.748854637145996,122.47728195190437,148.77487869262694,472.22698974609375,6.475,0.06666666666666667,120
M9_REVIN_MSR,PA-MSR,14,16.20266923754431,10.800179628704656,39.61035460885758,43.99709896317169,88.33294715258216,1.375,0.9833333333333333,120
PAR_HIST_GBDT_SW_CAL,Prior residual boosting,14,17.111040680933506,11.306974436669773,40.35261185061287,47.58382007837057,86.80735437654026,2.5833333333333335,0.775,120
random_forest_source_target,RF-ST,14,20.958441185451793,11.669185206120197,50.00995926625752,60.640327371472814,306.71034771087267,3.875,0.3,120
extra_trees_source_target,ExtraTrees-ST,14,21.98027418197055,11.555428894656384,47.19836732783943,64.91926247824476,350.3032867677482,4.008333333333334,0.325,120
persistence,Persistence,14,19.484441237943248,13.701711654663086,47.13736572265625,54.89823837280272,104.46368408203124,4.325,0.4583333333333333,120
hist_gbdt_source_target,HistGBDT-ST,14,23.045360394141145,12.438838170772337,48.50693224448548,67.82361156710246,362.6480442817431,5.333333333333333,0.09166666666666666,120
seasonal_naive_24,Seasonal naive,14,43.65111113072683,18.748854637145996,122.47728195190437,148.77487869262694,472.22698974609375,6.5,0.06666666666666667,120
M9_REVIN_MSR,PA-MSR,30,15.840823270061977,10.132606996523837,37.03967411666687,43.08835839668187,87.29358852314468,1.4083333333333334,0.9583333333333334,120
PAR_HIST_GBDT_SW_CAL,Prior residual boosting,30,16.687694137009977,10.371257999894254,41.17346365147745,46.90778283448464,86.55608989650608,2.5,0.7916666666666666,120
random_forest_source_target,RF-ST,30,20.686021714996567,11.320476812874688,48.69277871457308,58.8798609090375,312.48172721467535,3.8,0.35,120
extra_trees_source_target,ExtraTrees-ST,30,21.596295899106206,11.164317110361647,47.805898635892085,61.48149808356811,357.0141643582804,4.075,0.3,120
persistence,Persistence,30,19.484441237943248,13.701711654663086,47.13736572265625,54.89823837280272,104.46368408203124,4.491666666666666,0.4166666666666667,120
hist_gbdt_source_target,HistGBDT-ST,30,22.362653142820648,11.888695348370582,48.432008945633584,65.89747784091163,354.525269339069,5.133333333333334,0.13333333333333333,120
seasonal_naive_24,Seasonal naive,30,43.65111113072683,18.748854637145996,122.47728195190437,148.77487869262694,472.22698974609375,6.591666666666667,0.05,120
