method,k,mean_MAE,median_MAE,p90_MAE,worst_MAE
Residual,3,2.823,0.399,6.72698987267679,35.821
Residual + calibration,3,2.824,0.41,6.738091055409976,36.661
PARBoost,3,2.871,0.403,6.680191065158792,37.854
Residual + similarity,3,2.983,0.398,6.6931661528095985,38.79
Direct HistGBDT-ST,3,18.037,12.844,37.61476084473931,95.501
Residual + similarity,7,2.612,0.3,6.811345899081916,33.593
PARBoost,7,2.627,0.395,6.809990213575132,33.649
Residual + calibration,7,2.652,0.392,6.836494628371213,34.32
Residual,7,2.658,0.299,6.955471671863565,34.701
Direct HistGBDT-ST,7,18.189,13.299,33.45318650167155,81.223
PARBoost,14,2.488,0.372,6.419230685530956,31.843
Residual + calibration,14,2.493,0.378,6.355983294205039,32.09
Residual + similarity,14,2.493,0.283,6.400738352362244,32.064
Residual,14,2.501,0.295,6.372180632251698,32.919
Direct HistGBDT-ST,14,17.533,10.846,37.271285744196405,81.711
PARBoost,30,2.164,0.364,4.264549805051194,27.365
Residual + calibration,30,2.179,0.373,4.248298158310401,27.872
Residual + similarity,30,2.215,0.277,4.363862705537682,28.829
Residual,30,2.239,0.315,4.493667959442138,29.331
Direct HistGBDT-ST,30,18.561,11.826,41.89494346920742,105.097
